timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.42,0.87,0.34,0.85,-3.11,-1.65
10,0.41,0.87,0.34,0.61,-2.69,0.18
20,0.40,0.87,0.33,0.49,-2.44,1.95
30,0.38,0.88,0.32,0.37,-1.83,3.30
40,0.37,0.88,0.31,-0.06,-1.46,4.27
60,0.35,0.87,0.29,-0.79,0.85,6.29
70,0.35,0.86,0.29,-0.92,1.77,6.35
80,0.35,0.85,0.30,-1.10,2.44,5.86
90,0.34,0.85,0.30,-0.92,3.17,5.07
100,0.33,0.86,0.30,-0.06,5.00,4.33
110,0.33,0.86,0.29,0.49,6.23,3.78
120,0.33,0.85,0.29,1.04,7.51,3.17
130,0.34,0.85,0.29,1.77,8.54,2.69
140,0.35,0.84,0.30,2.08,8.42,1.95
150,0.36,0.83,0.32,2.62,7.81,1.59
160,0.35,0.83,0.32,2.93,7.02,1.53
170,0.35,0.82,0.32,3.48,6.29,1.28
180,0.34,0.82,0.31,4.03,5.98,1.10
190,0.34,0.83,0.30,4.27,6.10,0.18
200,0.36,0.82,0.30,3.85,6.04,0.00
210,0.36,0.81,0.30,3.72,5.92,-0.37
220,0.36,0.81,0.31,2.93,5.74,-0.79
230,0.36,0.80,0.31,2.38,5.98,-1.22
240,0.36,0.80,0.32,0.85,7.20,-1.95
250,0.35,0.82,0.32,0.06,8.18,-2.99
260,0.34,0.83,0.31,-0.73,9.03,-3.97
270,0.34,0.82,0.30,-1.46,9.52,-4.82
280,0.33,0.82,0.30,-1.77,10.25,-5.25
290,0.33,0.80,0.32,-2.99,10.93,-6.90
300,0.35,0.78,0.33,-3.17,10.38,-8.30
310,0.36,0.78,0.33,-3.54,9.64,-9.77
320,0.37,0.77,0.33,-4.09,8.24,-11.17
330,0.38,0.76,0.34,-4.33,6.04,-12.57
340,0.35,0.73,0.34,-5.19,2.44,-14.40
350,0.33,0.71,0.35,-5.80,1.95,-15.81
360,0.31,0.68,0.38,-5.98,2.81,-17.27
370,0.29,0.65,0.41,-5.98,4.70,-19.23
380,0.27,0.63,0.45,-5.74,7.32,-22.34
390,0.26,0.53,0.61,-3.11,13.12,-31.01
400,0.30,0.48,0.73,-0.67,14.10,-36.01
410,0.36,0.46,0.85,0.31,10.99,-41.50
420,0.41,0.47,0.95,1.22,5.37,-47.06
430,0.45,0.48,1.04,3.42,-0.43,-53.04
450,0.45,0.38,1.23,13.00,-19.47,-75.81
460,0.46,0.33,1.26,14.34,-20.08,-83.68
470,0.44,0.28,1.28,13.55,-18.19,-93.26
480,0.45,0.26,1.25,10.74,-12.57,-114.20
490,0.44,0.20,1.15,-0.06,-1.46,-125.98
500,0.50,0.23,1.05,-8.73,8.12,-137.15
510,0.52,0.14,0.95,-16.66,17.09,-152.34
520,0.69,0.23,0.82,-30.40,27.40,-165.47
530,0.73,0.23,0.71,-56.21,38.27,-195.43
540,1.04,0.31,0.50,-69.21,34.18,-210.51
550,1.12,0.42,0.38,-80.02,20.94,-222.17
560,1.32,0.52,0.16,-83.19,6.41,-225.95
570,1.39,0.56,-0.04,-85.57,-12.21,-227.05
580,1.41,0.59,-0.29,-92.71,-44.92,-217.04
590,1.51,0.75,-0.67,-97.23,-50.29,-208.07
600,1.66,0.90,-0.79,-100.83,-54.81,-206.30
