timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.33,0.64,0.67,6.16,3.30,1.59
10,0.34,0.63,0.67,5.25,4.15,2.01
20,0.34,0.63,0.67,4.46,3.72,2.26
30,0.34,0.62,0.67,3.66,2.81,2.62
40,0.33,0.62,0.67,2.87,1.65,3.05
50,0.32,0.62,0.66,0.98,0.06,3.85
60,0.32,0.64,0.64,-0.06,-0.12,3.91
70,0.32,0.64,0.63,-1.10,-0.55,3.97
80,0.33,0.65,0.62,-2.38,-1.04,3.91
90,0.33,0.66,0.62,-3.54,-1.71,3.66
100,0.34,0.67,0.62,-5.19,-3.17,3.17
110,0.34,0.68,0.62,-5.62,-3.17,2.44
120,0.34,0.69,0.61,-5.74,-2.81,1.16
130,0.34,0.69,0.61,-5.74,-1.77,-0.49
140,0.34,0.69,0.62,-5.55,-0.31,-2.38
150,0.34,0.68,0.62,-4.88,3.78,-5.07
160,0.34,0.67,0.64,-4.39,6.59,-5.43
170,0.35,0.67,0.65,-4.03,8.85,-5.49
180,0.36,0.67,0.65,-3.23,10.74,-5.13
190,0.36,0.67,0.65,-2.14,11.11,-4.03
200,0.36,0.71,0.67,-0.12,9.64,0.24
210,0.35,0.71,0.68,1.28,8.42,2.81
220,0.34,0.72,0.70,2.81,6.53,5.49
230,0.33,0.74,0.72,4.58,3.85,7.81
240,0.32,0.75,0.74,6.29,0.43,9.64
250,0.33,0.76,0.77,9.58,-5.74,12.08
260,0.35,0.76,0.77,10.50,-8.48,12.70
270,0.35,0.76,0.77,10.56,-12.45,13.06
280,0.34,0.75,0.75,9.95,-16.24,13.49
290,0.34,0.74,0.74,9.09,-19.10,13.92
300,0.32,0.70,0.72,6.90,-21.55,15.20
310,0.30,0.68,0.72,5.62,-21.24,15.81
320,0.28,0.67,0.71,4.09,-19.29,16.11
330,0.27,0.67,0.70,2.38,-16.05,16.11
340,0.26,0.69,0.69,0.98,-12.45,16.05
360,0.26,0.77,0.63,0.06,-4.52,17.09
370,0.27,0.81,0.64,1.04,-4.15,17.70
380,0.27,0.86,0.64,1.77,-5.55,18.25
390,0.27,0.91,0.64,2.75,-12.45,19.17
400,0.27,1.03,0.63,3.30,-20.63,18.31
410,0.25,1.11,0.62,3.30,-31.74,18.43
420,0.20,1.21,0.59,3.97,-43.09,19.17
430,0.14,1.29,0.56,5.55,-52.73,19.96
440,0.08,1.34,0.54,12.76,-62.62,23.50
450,-0.04,1.37,0.49,18.07,-63.78,25.94
460,-0.09,1.38,0.46,23.68,-63.35,27.10
470,-0.10,1.41,0.45,30.21,-62.13,26.61
480,-0.09,1.46,0.45,36.87,-61.77,23.80
490,-0.09,1.51,0.44,51.70,-66.89,13.73
500,-0.09,1.59,0.43,60.00,-70.37,9.28
510,-0.05,1.63,0.42,69.09,-75.56,5.37
520,-0.07,1.61,0.41,80.87,-84.17,1.89
530,-0.12,1.52,0.39,95.58,-92.53,0.61
540,-0.14,1.36,0.31,118.23,-100.95,4.76
550,-0.11,1.19,0.28,125.00,-103.58,5.00
560,-0.13,1.10,0.26,131.77,-108.15,1.89
570,-0.17,0.98,0.24,139.59,-114.38,-3.11
580,-0.23,0.84,0.24,147.28,-120.00,-8.54
590,-0.26,0.55,0.28,159.91,-122.80,-21.97
600,-0.25,0.39,0.32,165.16,-123.96,-29.79
610,-0.26,0.23,0.38,170.65,-124.57,-36.74
620,-0.28,0.08,0.42,176.57,-122.38,-42.97
630,-0.32,-0.08,0.46,183.47,-117.31,-49.68
640,-0.43,-0.54,0.52,199.10,-91.37,-66.16
650,-0.42,-0.78,0.55,201.90,-63.72,-71.17
660,-0.33,-0.99,0.56,201.60,-30.52,-76.84
670,-0.09,-1.24,0.61,201.78,3.17,-87.04
680,0.11,-1.52,0.73,198.30,32.17,-88.38
690,0.45,-1.83,1.04,164.06,68.73,-101.68
700,0.52,-1.88,1.17,141.36,68.73,-93.75
710,0.51,-1.82,1.26,113.34,58.78,-88.81
720,0.50,-1.63,1.26,84.11,51.33,-95.58
730,0.50,-1.35,1.17,58.72,48.52,-70.92
750,0.35,-0.83,1.04,19.35,48.83,-27.89
760,0.29,-0.80,1.08,10.19,51.76,-4.39
770,0.28,-0.79,1.11,-0.92,56.52,17.94
780,0.25,-0.77,1.12,-12.27,62.56,49.50
790,0.23,-0.74,1.11,-32.47,63.96,59.69
800,0.23,-0.72,1.13,-42.85,62.56,67.20
810,0.22,-0.70,1.14,-52.80,57.86,72.20
820,0.21,-0.68,1.14,-61.04,52.37,75.26
830,0.20,-0.66,1.11,-75.26,42.66,79.10
840,0.19,-0.63,1.05,-80.93,38.94,80.02
850,0.20,-0.61,1.03,-85.94,37.84,80.81
860,0.22,-0.60,1.02,-89.48,39.31,82.28
870,0.19,-0.57,1.02,-92.29,42.11,84.41
880,0.17,-0.52,1.02,-96.86,49.19,87.77
890,0.15,-0.41,1.05,-97.78,53.47,88.13
900,0.17,-0.32,1.05,-98.82,56.58,88.01
910,0.19,-0.25,1.04,-99.18,56.58,87.89
920,0.20,-0.19,1.00,-99.00,52.55,87.46
930,0.17,-0.12,0.96,-99.49,43.21,82.76
940,0.09,0.10,0.89,-100.22,40.95,78.49
950,0.06,0.19,0.89,-100.28,40.34,74.65
960,0.02,0.26,0.90,-98.88,40.71,72.14
970,-0.03,0.29,0.91,-96.74,42.18,69.89
980,-0.05,0.37,0.91,-92.71,49.50,59.08
990,-0.03,0.41,0.87,-91.67,54.50,53.77
1000,-0.02,0.48,0.81,-91.61,57.86,46.88
1010,0.05,0.57,0.74,-90.64,60.85,38.21
1020,0.08,0.63,0.69,-86.91,61.52,36.62
1030,0.11,0.67,0.63,-77.70,55.05,31.74
1040,0.14,0.70,0.69,-72.88,52.19,27.77
1050,0.13,0.68,0.77,-66.71,47.49,26.98
1060,0.09,0.66,0.81,-62.38,41.20,24.41
1070,0.08,0.67,0.83,-59.33,36.32,20.94
1080,0.07,0.71,0.79,-52.55,34.91,12.27
1090,0.08,0.75,0.72,-49.44,35.64,9.40
1100,0.09,0.79,0.66,-47.18,36.07,6.41
1110,0.09,0.83,0.63,-44.68,37.17,3.60
1120,0.08,0.86,0.66,-41.02,38.94,1.89
1140,0.12,0.85,0.81,-31.19,39.98,-2.32
1150,0.11,0.86,0.81,-30.33,38.88,-4.21
