timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.47,0.82,0.01,-1.10,-0.92,1.59
10,0.47,0.82,0.00,-1.83,-1.10,0.43
20,0.48,0.82,-0.00,-2.81,0.49,-1.28
30,0.48,0.85,-0.03,-3.42,1.65,-2.14
40,0.49,0.86,-0.04,-3.91,3.60,-2.99
50,0.49,0.86,-0.04,-4.09,5.92,-3.42
60,0.52,0.85,-0.04,-3.60,8.00,-2.99
70,0.54,0.85,-0.04,-3.72,9.95,-1.40
80,0.57,0.86,-0.01,-3.78,9.28,-0.06
90,0.58,0.85,-0.00,-3.30,7.57,1.16
100,0.57,0.83,0.01,-2.50,5.49,2.75
110,0.57,0.83,0.02,-2.08,3.60,3.78
120,0.56,0.82,0.04,-1.53,0.61,4.46
130,0.53,0.82,0.04,-0.98,-0.43,4.58
140,0.51,0.82,0.04,-0.79,-0.79,4.46
150,0.50,0.83,0.05,-0.55,-0.31,4.15
160,0.50,0.84,0.05,-0.37,0.61,3.60
170,0.50,0.84,0.06,0.00,1.59,2.69
180,0.51,0.83,0.06,-0.06,1.22,2.38
190,0.52,0.82,0.07,-0.37,0.06,2.20
200,0.51,0.82,0.08,-0.79,-1.83,2.01
210,0.50,0.81,0.07,-1.22,-3.85,1.59
220,0.48,0.82,0.05,-1.77,-5.31,-0.49
230,0.47,0.84,0.03,-1.89,-5.19,-2.08
240,0.48,0.84,0.01,-2.26,-4.82,-3.30
250,0.48,0.83,0.01,-2.14,-3.91,-4.03
260,0.48,0.83,0.01,-2.44,-2.93,-4.27
270,0.49,0.82,0.01,-2.87,-1.71,-4.21
280,0.48,0.81,0.01,-2.62,-1.83,-4.21
290,0.47,0.80,0.01,-2.44,-2.32,-4.21
300,0.46,0.79,0.01,-2.01,-2.26,-4.52
310,0.45,0.78,0.00,-1.77,-2.26,-5.62
330,0.46,0.76,0.01,-1.40,-1.95,-7.39
340,0.45,0.75,0.02,-1.89,-2.08,-8.42
350,0.43,0.73,0.04,-1.77,-2.14,-9.46
360,0.42,0.72,0.04,-1.59,-0.85,-11.78
370,0.37,0.66,0.05,-0.73,0.85,-13.55
380,0.35,0.63,0.06,-0.12,2.93,-15.81
390,0.32,0.59,0.07,0.43,4.70,-18.74
400,0.29,0.55,0.09,1.10,6.65,-22.40
410,0.25,0.51,0.11,1.28,11.84,-30.94
420,0.18,0.44,0.14,0.67,15.01,-35.95
430,0.15,0.41,0.15,0.06,18.86,-41.02
440,0.13,0.38,0.16,-0.98,22.95,-46.20
450,0.10,0.34,0.16,-2.56,27.28,-51.45
460,0.07,0.31,0.15,-7.39,38.45,-63.11
470,-0.09,0.29,0.11,-11.05,47.12,-70.13
480,-0.18,0.30,0.05,-14.22,58.78,-76.54
490,-0.26,0.31,-0.02,-17.88,73.67,-82.15
500,-0.35,0.35,-0.10,-22.34,91.98,-89.42
510,-0.41,0.41,-0.27,-33.57,135.93,-105.04
520,-0.42,0.62,-0.35,-36.99,155.27,-115.72
530,-0.49,0.78,-0.39,-43.09,177.92,-125.73
540,-0.44,0.99,-0.46,-49.32,202.70,-133.06
550,-0.38,1.18,-0.57,-51.03,222.17,-136.84
560,-0.05,1.65,-0.73,-53.89,241.46,-138.12
570,0.12,1.86,-0.84,-47.97,237.73,-128.72
580,0.35,1.96,-0.92,-35.46,228.94,-105.96
590,0.61,1.91,-1.03,-17.64,209.96,-85.45
600,0.81,1.79,-1.12,-5.68,186.22,-70.01
610,1.06,1.87,-1.19,-6.29,149.78,-50.84
620,1.02,2.13,-1.31,-10.07,143.49,-41.87
630,1.06,2.14,-1.37,9.83,156.37,-31.19
640,1.23,1.95,-1.45,32.90,181.15,-28.14
650,1.45,1.83,-1.55,48.77,204.83,-26.67
660,1.94,1.71,-1.64,79.90,225.59,-15.14
670,2.10,1.60,-1.64,101.56,215.45,0.37
680,2.12,1.52,-1.64,121.09,195.80,22.71
690,2.09,1.43,-1.67,139.65,172.73,45.90
700,2.07,1.31,-1.70,158.33,116.58,73.24
720,1.84,1.00,-1.69,194.27,72.39,87.04
730,1.69,0.91,-1.64,202.76,54.57,91.19
740,1.54,0.80,-1.61,210.14,42.85,96.50
750,1.42,0.68,-1.54,216.61,34.67,105.41
760,1.22,0.48,-1.41,225.59,35.89,108.40
770,1.12,0.39,-1.30,229.19,39.06,111.33
780,1.02,0.26,-1.17,232.97,42.54,114.81
790,0.93,0.16,-1.04,233.83,46.88,120.12
800,0.83,0.06,-0.91,229.43,55.73,130.13
810,0.67,-0.11,-0.70,224.24,61.58,133.48
820,0.60,-0.15,-0.58,218.02,66.10,134.95
830,0.52,-0.21,-0.45,211.61,68.24,132.20
840,0.42,-0.26,-0.35,200.62,67.20,125.73
850,0.38,-0.31,-0.27,172.24,57.92,104.74
860,0.32,-0.39,-0.05,154.36,49.87,91.31
870,0.31,-0.42,0.07,136.11,39.18,78.37
880,0.31,-0.44,0.18,117.86,25.21,67.87
890,0.29,-0.47,0.28,99.79,7.45,59.20
900,0.21,-0.50,0.37,64.45,-27.04,43.15
910,-0.03,-0.55,0.38,46.75,-37.78,32.78
920,-0.17,-0.53,0.38,29.05,-41.69,21.55
930,-0.26,-0.44,0.38,13.06,-36.74,12.33
940,-0.32,-0.31,0.37,2.32,-23.93,5.80
950,-0.22,-0.12,0.43,-4.88,9.83,1.65
960,-0.10,-0.07,0.48,-5.37,23.68,-0.55
970,0.04,-0.08,0.51,-8.18,27.83,-5.07
980,0.16,-0.03,0.51,-17.94,20.63,-10.99
990,0.25,0.07,0.48,-31.86,7.20,-17.94
1000,0.36,0.28,0.35,-57.86,-20.63,-33.26
1010,0.38,0.40,0.23,-70.74,-35.03,-41.32
1020,0.39,0.53,0.11,-82.34,-47.42,-49.50
1030,0.39,0.65,-0.00,-92.10,-55.42,-58.04
1040,0.38,0.74,-0.12,-99.18,-59.69,-66.28
1050,0.35,0.81,-0.34,-110.53,-50.96,-82.15
1060,0.44,0.80,-0.40,-114.62,-39.92,-91.13
1070,0.58,0.84,-0.48,-118.90,-28.44,-98.63
1080,0.70,0.95,-0.55,-125.18,-21.67,-102.48
1090,0.76,1.04,-0.58,-128.48,-19.29,-103.64
1110,0.97,1.18,-0.63,-122.56,-32.23,-97.23
1120,0.99,1.17,-0.67,-116.76,-44.31,-90.27
1130,0.96,1.13,-0.69,-110.23,-59.45,-83.01
1140,0.83,1.09,-0.73,-105.47,-84.78,-68.36
1150,0.72,1.04,-0.78,-97.23,-91.92,-65.43
