timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.26,0.95,0.18,6.96,19.71,7.45
10,0.25,0.95,0.17,6.71,17.82,8.12
20,0.24,0.95,0.17,6.16,16.66,8.61
30,0.24,0.95,0.16,5.86,15.75,8.42
40,0.24,0.94,0.17,4.76,15.56,8.12
50,0.24,0.94,0.17,3.85,15.26,7.93
60,0.24,0.94,0.17,3.48,14.59,7.45
70,0.24,0.94,0.17,3.11,13.55,6.84
80,0.24,0.94,0.17,2.99,10.99,5.68
90,0.24,0.94,0.18,2.99,9.58,5.13
100,0.25,0.94,0.18,3.36,8.06,4.76
110,0.24,0.93,0.18,3.72,6.23,4.64
120,0.23,0.92,0.18,4.03,4.33,4.46
130,0.23,0.92,0.18,4.58,2.50,3.91
140,0.22,0.92,0.19,4.82,2.08,3.42
150,0.23,0.92,0.19,4.94,1.34,2.75
160,0.23,0.92,0.19,4.70,0.61,2.08
170,0.23,0.93,0.19,4.27,-0.37,1.46
180,0.23,0.93,0.18,3.30,-3.11,0.55
190,0.22,0.94,0.18,2.69,-3.97,0.37
200,0.22,0.94,0.18,2.08,-4.58,0.18
210,0.22,0.94,0.19,1.34,-5.13,0.18
220,0.22,0.94,0.19,0.85,-5.68,0.31
230,0.22,0.93,0.20,-0.24,-7.32,1.34
240,0.23,0.94,0.20,-0.92,-8.42,1.89
250,0.22,0.94,0.20,-1.46,-9.77,2.08
260,0.21,0.94,0.20,-2.26,-10.99,2.26
270,0.20,0.95,0.19,-2.99,-11.84,2.44
280,0.19,0.95,0.18,-3.97,-12.63,2.38
290,0.19,0.95,0.17,-4.39,-12.82,2.44
300,0.19,0.96,0.17,-4.88,-12.94,2.38
310,0.19,0.96,0.16,-5.49,-13.24,2.08
320,0.19,0.96,0.15,-5.98,-13.37,2.08
340,0.17,0.95,0.16,-6.59,-12.70,0.85
350,0.18,0.96,0.16,-6.65,-12.27,0.55
360,0.18,0.96,0.16,-6.41,-11.90,0.12
370,0.18,0.97,0.15,-6.41,-12.02,-1.22
390,0.18,0.97,0.17,-5.49,-13.43,-1.40
