timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.54,-0.79,0.24,19.23,-7.45,7.69
10,0.54,-0.79,0.24,20.14,-9.09,8.61
20,0.53,-0.80,0.23,22.22,-9.70,8.85
30,0.53,-0.80,0.23,23.38,-10.31,9.22
40,0.53,-0.80,0.23,24.17,-10.99,9.34
50,0.53,-0.81,0.23,25.15,-11.60,9.46
60,0.54,-0.81,0.24,26.49,-13.55,9.09
70,0.54,-0.81,0.24,27.40,-14.89,8.85
80,0.54,-0.81,0.24,27.95,-16.36,8.54
90,0.54,-0.81,0.24,28.44,-18.37,8.24
100,0.54,-0.80,0.23,29.05,-20.08,7.75
110,0.54,-0.80,0.23,29.97,-24.05,6.96
120,0.54,-0.81,0.22,30.52,-25.82,6.90
130,0.54,-0.82,0.22,30.88,-27.16,7.08
140,0.53,-0.83,0.22,31.37,-28.32,7.14
150,0.53,-0.84,0.22,31.49,-29.17,7.26
160,0.52,-0.85,0.21,31.98,-29.97,7.08
170,0.52,-0.86,0.21,32.29,-30.09,6.77
180,0.52,-0.87,0.21,32.41,-29.79,6.35
190,0.53,-0.88,0.21,32.96,-29.79,5.43
200,0.53,-0.88,0.21,33.20,-29.97,4.70
210,0.56,-0.88,0.22,33.94,-31.07,3.36
220,0.54,-0.89,0.21,34.30,-31.68,2.81
230,0.54,-0.88,0.21,34.73,-32.41,2.38
240,0.54,-0.88,0.21,34.79,-32.90,2.01
250,0.54,-0.87,0.20,35.03,-33.26,1.89
260,0.53,-0.86,0.21,35.40,-33.87,2.38
270,0.54,-0.86,0.22,35.46,-33.87,2.87
280,0.54,-0.86,0.22,35.46,-34.06,3.36
290,0.54,-0.86,0.23,35.52,-35.03,3.72
300,0.54,-0.87,0.23,35.22,-35.95,4.03
310,0.55,-0.88,0.23,34.00,-38.09,4.27
320,0.55,-0.88,0.23,33.20,-39.37,4.27
330,0.55,-0.90,0.22,32.53,-40.71,4.09
340,0.55,-0.91,0.22,31.43,-41.50,3.48
350,0.54,-0.92,0.22,30.27,-41.93,2.50
370,0.53,-0.94,0.22,26.61,-38.64,1.46
380,0.54,-0.94,0.22,25.39,-36.68,0.92
390,0.54,-0.94,0.21,24.23,-34.42,0.73
400,0.54,-0.93,0.21,22.95,-31.37,1.16
410,0.55,-0.90,0.19,21.30,-30.33,2.08
420,0.55,-0.89,0.18,21.00,-29.72,2.99
430,0.53,-0.88,0.18,20.75,-29.24,3.97
440,0.54,-0.87,0.17,20.69,-28.44,4.88
450,0.53,-0.87,0.17,21.00,-28.63,6.71
460,0.52,-0.85,0.17,21.30,-28.87,7.45
470,0.52,-0.84,0.17,21.61,-29.36,8.06
480,0.51,-0.84,0.17,22.09,-30.09,8.54
490,0.50,-0.83,0.17,22.52,-31.07,8.85
500,0.50,-0.83,0.16,22.95,-33.69,8.91
510,0.49,-0.82,0.16,23.32,-34.67,8.73
520,0.48,-0.82,0.16,23.44,-35.40,8.42
530,0.48,-0.82,0.16,23.68,-36.19,7.87
540,0.47,-0.82,0.16,23.80,-36.87,7.26
550,0.47,-0.83,0.16,23.74,-37.23,5.92
560,0.47,-0.83,0.16,23.62,-36.99,5.37
570,0.47,-0.83,0.16,23.56,-36.62,4.76
580,0.46,-0.84,0.16,23.50,-36.44,4.39
590,0.46,-0.84,0.16,23.38,-36.38,3.85
600,0.46,-0.85,0.16,22.40,-35.64,3.11
610,0.46,-0.85,0.16,22.28,-35.34,3.05
620,0.46,-0.85,0.16,21.97,-35.16,2.93
630,0.46,-0.86,0.16,21.73,-34.97,2.62
640,0.46,-0.87,0.16,21.61,-34.48,2.32
650,0.46,-0.87,0.17,21.12,-34.42,1.65
660,0.47,-0.88,0.17,21.30,-34.48,1.10
670,0.47,-0.89,0.17,21.48,-34.91,0.61
680,0.48,-0.91,0.18,21.79,-35.52,0.00
690,0.48,-0.92,0.19,21.67,-36.25,-0.61
700,0.47,-0.96,0.20,20.81,-37.17,-1.89
710,0.47,-0.97,0.20,20.08,-36.99,-2.44
720,0.47,-0.97,0.20,18.74,-36.62,-2.75
730,0.47,-0.96,0.20,17.40,-36.32,-2.93
740,0.46,-0.96,0.19,15.99,-35.58,-2.62
760,0.44,-0.92,0.19,11.66,-32.10,-1.59
770,0.43,-0.91,0.19,10.56,-30.46,-0.67
780,0.43,-0.91,0.19,9.70,-28.93,0.31
790,0.43,-0.91,0.19,8.85,-26.25,1.34
800,0.42,-0.90,0.19,7.20,-25.15,1.65
810,0.42,-0.91,0.19,6.53,-24.23,1.89
820,0.42,-0.91,0.20,6.23,-23.80,1.83
830,0.43,-0.92,0.20,6.04,-23.38,1.59
840,0.43,-0.94,0.20,5.49,-22.77,0.37
850,0.43,-0.97,0.21,4.82,-22.83,-0.79
860,0.43,-0.98,0.22,3.78,-22.46,-2.20
870,0.43,-0.98,0.22,2.99,-22.22,-3.05
880,0.43,-0.97,0.22,1.71,-21.73,-3.85
