timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.43,0.91,0.32,-5.98,21.42,3.66
10,0.44,0.90,0.32,-5.13,20.20,3.66
20,0.46,0.89,0.32,-4.33,18.13,4.03
30,0.47,0.87,0.33,-3.36,11.17,3.85
50,0.43,0.84,0.33,0.55,5.68,3.78
60,0.42,0.84,0.32,2.20,4.94,3.66
70,0.41,0.84,0.31,3.66,4.82,3.48
80,0.41,0.84,0.29,5.62,5.31,3.60
90,0.40,0.82,0.27,6.23,5.62,3.97
100,0.41,0.82,0.27,6.47,5.25,4.15
110,0.40,0.81,0.27,6.59,4.58,4.15
120,0.40,0.81,0.27,6.77,4.03,3.91
130,0.40,0.81,0.27,6.77,2.75,2.87
140,0.39,0.82,0.26,6.59,2.44,2.38
150,0.40,0.82,0.25,6.41,2.32,2.08
160,0.41,0.82,0.25,6.16,2.50,2.01
170,0.41,0.81,0.25,5.86,2.87,2.08
180,0.40,0.81,0.26,3.85,3.54,1.71
190,0.40,0.81,0.28,2.99,4.39,0.98
200,0.40,0.81,0.29,2.26,5.00,0.49
210,0.40,0.82,0.29,1.53,5.55,-0.18
220,0.40,0.84,0.29,0.73,6.23,-1.34
230,0.41,0.84,0.28,-0.61,6.90,-2.75
240,0.40,0.83,0.28,-1.28,6.77,-2.93
250,0.40,0.83,0.29,-2.01,6.35,-3.05
260,0.41,0.83,0.30,-2.69,6.16,-2.99
270,0.41,0.82,0.30,-2.75,5.80,-2.56
280,0.39,0.82,0.30,-2.93,4.76,-2.26
290,0.38,0.82,0.29,-3.17,4.46,-2.56
300,0.38,0.82,0.29,-3.17,4.27,-3.11
310,0.37,0.82,0.29,-3.05,4.09,-3.54
320,0.37,0.81,0.29,-2.87,3.60,-4.33
330,0.38,0.75,0.32,-2.08,1.34,-6.59
340,0.37,0.72,0.34,-1.40,-0.55,-8.73
350,0.35,0.69,0.37,-0.43,-2.75,-11.78
360,0.33,0.65,0.41,1.34,-4.39,-15.93
370,0.29,0.60,0.46,3.42,-5.00,-25.39
390,0.21,0.46,0.60,11.47,11.60,-38.15
400,0.27,0.42,0.64,14.40,22.28,-45.90
410,0.35,0.37,0.68,18.19,30.52,-54.63
420,0.43,0.30,0.74,22.03,31.74,-73.36
430,0.58,0.17,0.91,24.05,26.79,-82.76
440,0.64,0.13,0.98,23.01,16.91,-92.53
450,0.72,0.10,1.06,21.06,4.58,-101.14
460,0.78,0.08,1.15,18.98,-8.54,-109.80
470,0.83,0.07,1.19,9.46,-40.95,-128.85
480,0.80,0.10,1.12,3.36,-56.40,-138.49
490,0.77,0.13,1.05,-2.87,-67.08,-147.77
500,0.77,0.16,0.99,-9.83,-73.12,-156.56
510,0.76,0.16,0.92,-17.70,-76.60,-164.49
520,0.81,0.24,0.82,-39.06,-76.54,-178.10
530,0.85,0.31,0.65,-53.16,-74.34,-185.79
540,0.89,0.33,0.54,-64.33,-71.23,-194.89
550,0.91,0.38,0.48,-78.92,-67.02,-205.08
560,1.00,0.51,0.40,-91.86,-59.27,-211.79
570,1.12,0.56,0.35,-101.32,-52.00,-230.35
580,1.37,0.64,0.21,-106.08,-57.19,-232.91
590,1.51,0.74,0.10,-110.84,-63.96,-222.72
600,1.64,0.85,-0.04,-112.00,-73.49,-209.96
610,1.73,0.91,-0.17,-109.62,-87.46,-201.78
620,1.74,1.08,-0.40,-107.85,-115.97,-180.85
630,1.60,1.19,-0.50,-107.36,-120.91,-168.03
640,1.57,1.32,-0.54,-104.25,-118.71,-157.35
650,1.53,1.41,-0.67,-98.08,-114.81,-149.11
660,1.44,1.54,-0.75,-96.13,-107.79,-134.95
670,1.43,1.76,-0.94,-81.85,-83.44,-96.98
680,1.49,1.82,-1.03,-67.69,-72.88,-75.68
690,1.50,1.85,-1.09,-50.78,-63.66,-49.87
700,1.49,1.85,-1.12,-33.39,-55.18,-22.64
710,1.46,1.89,-1.12,-16.24,-46.69,-0.24
720,1.38,1.90,-1.05,26.98,-35.46,36.38
730,1.35,1.89,-1.00,50.72,-29.05,53.04
740,1.34,1.78,-0.99,78.61,-21.97,70.43
750,1.33,1.66,-0.95,102.97,-15.75,88.13
760,1.31,1.53,-0.88,123.66,-9.40,108.70
780,1.36,1.24,-0.70,175.54,-4.46,121.15
790,1.33,1.16,-0.65,190.80,-7.39,131.04
800,1.30,1.06,-0.61,204.47,-8.61,141.54
810,1.29,0.97,-0.58,216.55,-7.14,154.36
820,1.35,0.78,-0.62,237.49,-7.57,157.84
830,1.39,0.66,-0.66,247.74,-9.52,161.38
840,1.40,0.55,-0.73,257.32,-13.06,164.31
850,1.42,0.40,-0.81,266.30,-18.62,166.99
860,1.42,0.25,-0.88,278.93,-28.99,173.16
870,1.34,-0.06,-0.97,284.12,-29.60,175.90
880,1.27,-0.22,-0.93,289.06,-26.61,177.25
890,1.25,-0.37,-0.87,295.10,-21.18,176.15
900,1.25,-0.53,-0.77,302.43,-16.05,175.29
910,1.21,-0.69,-0.68,310.85,-13.24,184.02
920,1.01,-0.99,-0.56,311.89,-15.99,187.62
930,0.96,-1.14,-0.47,308.35,-16.11,185.49
940,0.93,-1.28,-0.33,299.99,-13.06,178.83
950,0.84,-1.40,-0.17,290.77,-8.73,170.90
960,0.82,-1.53,0.27,269.04,0.12,176.70
970,0.72,-2.00,0.48,249.76,8.54,164.18
980,0.73,-2.12,0.72,223.33,15.38,152.04
990,0.74,-2.15,0.95,193.12,19.59,144.23
1000,0.72,-2.11,1.13,160.83,20.32,140.50
1010,0.59,-1.96,1.34,100.83,22.77,134.34
1020,0.46,-1.86,1.35,75.81,26.43,127.50
1030,0.39,-1.80,1.33,51.82,32.41,116.39
1040,0.37,-1.69,1.32,26.61,40.71,105.10
1050,0.38,-1.54,1.28,4.27,48.77,95.15
1060,0.48,-1.24,1.18,-30.64,58.72,76.97
1070,0.57,-1.13,1.12,-45.10,61.46,67.99
1080,0.67,-0.98,1.05,-58.29,56.82,57.68
1090,0.69,-0.84,0.99,-68.36,46.45,49.07
1100,0.67,-0.72,0.93,-76.60,38.27,42.05
1110,0.78,-0.47,0.82,-88.50,34.97,31.80
1120,0.84,-0.37,0.78,-91.37,34.67,27.10
1130,0.88,-0.30,0.75,-92.10,33.33,20.81
1140,0.90,-0.23,0.72,-91.49,31.31,12.27
1150,0.90,-0.17,0.70,-90.70,29.48,-2.75
