timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.36,0.55,0.66,6.84,-1.28,6.16
10,0.35,0.56,0.66,5.80,-1.71,5.92
20,0.35,0.56,0.66,4.94,-1.71,5.19
30,0.35,0.56,0.66,4.46,-1.16,4.58
40,0.35,0.55,0.66,2.69,0.43,2.99
50,0.35,0.55,0.67,1.83,1.10,2.14
60,0.37,0.55,0.67,0.92,1.28,1.71
70,0.37,0.55,0.67,-0.12,0.98,1.34
80,0.36,0.56,0.67,-0.98,0.61,0.85
90,0.37,0.58,0.65,-2.62,-0.06,0.18
100,0.38,0.59,0.65,-3.36,-0.31,-0.18
110,0.38,0.60,0.66,-4.15,-0.79,-0.67
120,0.39,0.61,0.66,-4.76,-1.16,-1.34
130,0.39,0.63,0.66,-5.49,-1.10,-3.23
150,0.39,0.66,0.66,-6.23,3.17,-5.07
160,0.39,0.66,0.66,-6.16,5.31,-5.43
170,0.40,0.66,0.66,-5.80,6.90,-5.80
180,0.41,0.66,0.67,-5.31,8.42,-5.68
190,0.42,0.65,0.69,-4.33,7.81,-5.19
200,0.42,0.65,0.69,-3.11,6.96,-4.21
210,0.42,0.66,0.70,-1.95,5.92,-2.32
220,0.41,0.68,0.70,-0.67,4.52,-0.12
230,0.39,0.70,0.69,1.77,2.38,4.70
240,0.41,0.70,0.69,3.42,1.89,7.39
250,0.41,0.68,0.70,4.52,0.61,9.52
260,0.41,0.67,0.69,4.88,-1.04,10.62
270,0.39,0.67,0.69,4.94,-2.81,11.47
280,0.38,0.66,0.68,5.00,-3.91,12.63
290,0.37,0.62,0.68,4.52,-3.66,12.82
300,0.37,0.61,0.68,4.09,-3.30,12.76
310,0.37,0.60,0.68,3.48,-2.56,12.45
320,0.37,0.60,0.68,3.05,-2.01,12.27
330,0.38,0.62,0.68,2.08,-0.55,12.21
340,0.38,0.59,0.67,1.53,0.31,12.27
350,0.37,0.60,0.68,1.22,1.46,12.57
360,0.37,0.61,0.68,0.79,2.75,13.12
370,0.38,0.61,0.69,0.67,4.03,13.55
380,0.38,0.63,0.71,1.34,4.88,14.95
390,0.37,0.65,0.72,1.65,4.27,15.56
400,0.36,0.66,0.72,2.20,3.54,15.75
410,0.34,0.69,0.71,2.69,1.77,15.75
420,0.32,0.72,0.71,3.23,-0.12,15.62
430,0.30,0.76,0.74,4.52,-3.78,14.83
440,0.29,0.77,0.74,5.07,-6.35,14.40
450,0.28,0.78,0.74,5.55,-9.64,14.10
460,0.28,0.80,0.74,5.62,-13.00,14.04
470,0.29,0.81,0.72,5.92,-16.24,14.40
490,0.29,0.90,0.66,7.69,-25.70,18.98
500,0.31,0.93,0.65,8.91,-26.06,20.87
510,0.34,0.96,0.67,10.38,-27.71,21.91
520,0.35,1.00,0.68,11.60,-33.14,20.45
540,0.29,1.35,0.72,7.51,-62.93,15.32
550,0.24,1.52,0.73,4.76,-72.08,13.98
560,0.15,1.66,0.69,4.58,-80.57,15.20
570,-0.00,1.81,0.63,7.20,-99.30,25.51
580,-0.48,2.02,0.25,12.88,-103.21,28.93
590,-0.73,2.17,-0.07,8.48,-102.36,26.00
600,-0.94,2.44,-0.38,-7.87,-102.05,12.70
610,-1.05,2.73,-0.65,-29.11,-102.72,-12.45
620,-1.00,2.82,-0.81,-48.16,-84.23,-69.58
630,-0.62,2.96,-1.02,-34.18,-71.41,-95.21
640,-0.29,2.74,-0.97,16.30,-71.90,-109.38
650,-0.26,2.89,-1.05,58.35,-101.44,-125.43
660,-0.57,2.34,-0.86,136.54,-154.91,-149.29
670,-0.74,1.16,-0.47,297.55,-237.98,-141.17
680,-0.63,-0.64,0.37,345.52,-273.56,-116.21
690,-0.35,-1.35,0.79,406.74,-304.08,-89.78
700,-0.69,-1.72,0.98,498.96,-303.65,-76.23
710,-1.43,-2.78,1.53,630.07,-224.06,-73.24
720,-1.48,-4.00,-0.56,812.56,95.95,-15.14
730,3.85,-4.00,0.10,548.34,117.55,-43.21
740,2.67,-4.00,1.29,240.84,34.79,-166.44
750,2.74,-2.29,1.51,121.64,-41.02,-167.97
760,1.95,-1.72,0.97,41.99,-132.45,-84.96
770,-0.80,-1.72,0.34,-110.41,-184.20,59.39
780,-1.59,-1.59,0.33,-182.19,-99.79,76.78
790,-1.71,-1.37,0.40,-236.45,35.28,97.23
800,-1.03,-1.19,0.42,-259.40,175.60,149.29
810,-0.20,-1.39,0.69,-246.58,271.42,198.43
820,0.57,-1.80,0.73,-214.17,222.11,228.52
830,0.08,-1.75,0.66,-211.06,146.18,209.78
840,-0.09,-1.39,0.50,-206.97,102.11,177.31
850,-0.23,-1.05,0.39,-194.34,83.92,153.93
860,-0.06,-0.89,0.31,-175.90,77.39,145.39
870,-0.09,-0.66,0.37,-158.81,23.01,156.62
880,-0.29,-0.45,0.45,-159.55,2.69,146.42
890,-0.37,-0.16,0.54,-162.54,-1.10,121.58
900,-0.35,0.23,0.63,-169.98,9.64,97.96
910,-0.21,0.62,0.72,-172.49,41.32,63.96
930,-0.19,1.08,0.91,-127.08,53.34,46.20
940,-0.16,0.96,0.88,-108.95,57.62,51.51
950,-0.13,0.97,0.78,-100.83,54.14,45.78
960,-0.15,1.03,0.70,-100.77,37.05,25.39
970,-0.28,1.10,0.62,-92.65,32.96,24.54
980,-0.33,1.25,0.59,-88.68,31.07,10.07
990,-0.29,1.30,0.57,-80.81,39.06,-1.59
1000,-0.22,1.31,0.60,-69.76,47.91,-6.47
1010,-0.12,1.28,0.65,-52.06,62.38,-21.48
1020,-0.02,1.27,0.79,-48.03,65.55,-28.56
1030,-0.01,1.29,0.82,-44.74,65.80,-32.65
1040,0.04,1.28,0.82,-39.98,65.06,-31.92
1050,0.07,1.26,0.80,-33.94,64.21,-27.77
1060,0.13,1.21,0.81,-22.52,56.27,-16.36
1070,0.24,1.09,0.78,-18.19,48.95,-10.99
1080,0.26,1.05,0.77,-14.89,40.47,-7.45
1090,0.25,1.00,0.76,-12.27,32.47,-5.62
1100,0.21,0.95,0.76,-10.19,27.59,-4.58
1110,0.14,0.93,0.78,-10.31,27.04,-2.44
1120,0.02,0.90,0.78,-11.78,31.74,-3.72
1130,0.03,0.86,0.78,-12.63,38.21,-5.74
