timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.65,1.08,0.03,15.69,14.34,7.39
10,0.63,1.05,0.04,17.94,9.46,12.08
20,0.61,1.01,0.05,19.84,6.59,15.99
30,0.57,0.98,0.07,21.61,5.00,19.53
40,0.50,0.93,0.08,24.35,5.62,24.29
50,0.49,0.91,0.09,25.51,7.08,25.76
60,0.48,0.88,0.09,26.06,8.24,27.10
70,0.47,0.85,0.09,26.12,8.61,28.26
80,0.46,0.83,0.09,25.51,8.30,28.69
100,0.40,0.74,0.11,20.87,4.27,27.83
110,0.37,0.71,0.12,18.86,2.50,26.98
120,0.35,0.68,0.12,16.72,1.16,25.82
130,0.32,0.66,0.13,14.77,-0.06,22.71
140,0.27,0.61,0.14,10.86,0.37,20.94
150,0.24,0.60,0.14,8.42,1.46,18.62
160,0.23,0.61,0.14,5.31,2.87,15.81
170,0.23,0.63,0.13,1.65,4.21,12.70
180,0.23,0.66,0.12,-4.21,5.74,7.69
190,0.26,0.69,0.13,-5.98,5.31,6.59
200,0.28,0.70,0.13,-7.57,3.91,5.98
210,0.29,0.71,0.13,-9.28,1.89,5.86
220,0.30,0.74,0.13,-11.60,-0.73,5.86
230,0.30,0.79,0.12,-15.93,-3.91,5.07
240,0.33,0.90,0.08,-17.21,-4.52,4.15
250,0.35,0.94,0.06,-18.07,-4.88,3.30
260,0.38,0.96,0.04,-18.25,-4.82,2.26
270,0.42,0.96,0.04,-18.31,-4.09,0.98
280,0.48,0.91,0.06,-18.55,-3.54,-1.77
290,0.53,0.93,0.08,-19.78,-3.60,-2.14
300,0.53,0.94,0.10,-20.75,-3.11,-3.17
310,0.53,0.95,0.12,-20.94,-1.77,-3.54
320,0.53,0.95,0.15,-20.14,0.43,-3.30
330,0.52,0.93,0.18,-16.78,5.98,-2.44
340,0.49,0.91,0.20,-14.53,8.24,-2.26
350,0.50,0.88,0.22,-11.60,9.83,-1.95
360,0.48,0.84,0.24,-8.36,9.52,-1.95
370,0.46,0.81,0.25,-5.74,7.20,-2.99
380,0.36,0.71,0.26,0.12,0.12,-7.14
390,0.28,0.63,0.26,4.27,-2.32,-10.50
400,0.20,0.52,0.25,8.24,-1.22,-14.77
410,0.14,0.40,0.24,11.90,3.05,-19.90
420,0.09,0.28,0.24,14.47,9.58,-41.44
440,-0.01,0.03,0.27,11.78,34.79,-45.72
450,-0.09,-0.04,0.28,8.97,42.79,-51.94
460,-0.18,-0.09,0.31,5.49,53.28,-57.86
470,-0.22,-0.14,0.32,1.46,81.91,-73.12
490,-0.28,-0.14,0.27,-20.08,97.47,-91.37
500,-0.28,-0.11,0.23,-31.31,109.80,-103.15
510,-0.14,0.05,0.21,-43.09,122.38,-113.10
520,-0.04,0.06,0.14,-49.32,132.20,-117.55
530,0.19,0.00,0.05,-65.80,126.04,-133.12
540,0.21,0.01,-0.03,-76.05,115.66,-141.78
550,0.21,0.02,-0.07,-84.84,107.24,-145.51
560,0.17,0.03,-0.08,-93.26,103.64,-151.06
570,0.13,0.06,-0.13,-111.57,115.97,-160.77
580,0.19,0.16,-0.26,-120.36,130.62,-165.10
590,0.24,0.18,-0.37,-129.33,146.91,-171.45
600,0.44,0.31,-0.53,-138.61,165.41,-178.41
610,0.71,0.35,-0.71,-146.18,177.67,-179.57
620,0.97,0.40,-0.91,-169.74,170.59,-187.81
630,1.23,0.80,-1.30,-185.97,163.57,-185.12
640,1.34,1.09,-1.44,-197.75,160.46,-181.64
650,1.47,1.40,-1.62,-201.84,158.63,-180.79
660,1.54,1.76,-1.78,-198.67,153.99,-178.77
670,1.54,2.28,-2.19,-156.49,152.59,-157.71
