timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.05,0.94,-0.06,0.18,21.79,4.03
10,-0.06,0.94,-0.07,0.55,22.09,3.11
20,-0.05,0.94,-0.08,0.55,23.38,0.98
40,-0.01,0.94,-0.07,-1.10,24.66,-0.61
50,-0.00,0.95,-0.06,-1.77,23.38,-1.10
60,-0.01,0.95,-0.04,-1.89,22.03,-1.46
70,-0.01,0.96,-0.04,-1.46,19.90,-2.20
80,-0.02,0.96,-0.05,-0.79,19.41,-2.99
90,-0.02,0.96,-0.05,-0.61,19.53,-3.60
100,-0.01,0.96,-0.05,-0.85,19.35,-4.15
110,-0.00,0.97,-0.05,-1.04,18.98,-4.82
120,-0.00,0.97,-0.05,-1.16,17.27,-5.13
130,0.00,0.98,-0.04,-0.85,16.66,-5.25
140,0.00,0.98,-0.04,-0.73,15.87,-5.31
150,0.01,0.99,-0.03,-0.73,14.77,-5.37
160,0.03,0.99,-0.03,-0.37,13.49,-5.31
170,0.03,1.00,-0.03,0.92,9.89,-5.00
180,0.01,0.99,-0.03,1.46,8.36,-4.76
190,0.01,1.00,-0.03,1.83,7.45,-4.27
200,0.01,1.00,-0.02,2.26,6.77,-3.48
210,0.01,1.00,-0.02,2.38,6.16,-2.93
220,0.02,1.00,-0.03,2.38,4.58,-1.46
230,0.03,0.99,-0.03,1.89,3.60,-0.92
240,0.03,1.00,-0.03,1.40,2.14,-0.31
250,0.02,0.99,-0.03,1.22,0.98,0.31
260,0.01,0.99,-0.04,0.79,0.49,0.43
270,0.01,0.98,-0.04,0.06,0.37,0.67
280,0.03,0.98,-0.03,-0.06,-0.31,0.85
290,0.03,0.98,-0.03,-0.06,-1.89,1.04
300,0.03,0.98,-0.02,0.49,-3.72,1.34
310,0.03,0.97,-0.02,1.10,-5.25,1.65
320,0.02,0.96,-0.03,2.56,-8.00,2.20
330,0.02,0.96,-0.02,2.62,-9.22,2.26
340,0.03,0.97,-0.02,2.69,-10.86,2.01
350,0.04,0.96,-0.01,3.11,-12.88,2.01
360,0.05,0.96,0.00,3.42,-15.26,2.26
370,0.05,0.96,0.02,4.27,-20.32,2.62
380,0.04,0.96,0.01,4.82,-21.97,2.81
390,0.02,0.96,-0.00,4.76,-22.77,2.87
400,0.02,0.96,-0.02,4.21,-22.71,2.81
410,0.02,0.97,-0.03,3.23,-21.97,2.93
430,0.05,1.00,-0.03,0.06,-23.50,2.99
440,0.05,1.01,-0.02,0.06,-24.84,3.23
450,0.05,1.01,-0.02,0.49,-26.06,2.99
460,0.05,1.01,-0.01,1.04,-28.93,2.01
470,0.03,1.01,-0.00,3.30,-29.91,1.10
480,0.02,1.01,0.01,4.33,-30.88,0.43
490,0.01,1.01,0.02,5.92,-32.10,-0.18
500,0.00,1.00,0.03,7.93,-33.33,-0.43
510,-0.01,1.00,0.02,11.23,-34.79,-0.98
520,-0.02,0.99,-0.01,11.47,-34.67,-0.98
530,-0.00,0.98,-0.03,10.86,-34.06,-0.92
540,0.01,0.97,-0.04,9.16,-33.69,-1.16
550,0.04,0.97,-0.04,6.41,-34.00,-1.34
