timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.34,-0.94,0.22,-3.11,-14.10,4.76
10,0.34,-0.93,0.21,-4.15,-12.27,5.13
20,0.34,-0.92,0.21,-4.88,-10.19,5.49
30,0.34,-0.91,0.21,-5.49,-8.42,5.80
40,0.35,-0.90,0.22,-6.16,-6.04,6.65
50,0.36,-0.91,0.22,-6.29,-5.74,6.84
60,0.37,-0.92,0.23,-6.35,-6.16,7.08
70,0.37,-0.92,0.24,-6.47,-6.96,7.26
80,0.37,-0.93,0.24,-6.77,-7.93,7.14
90,0.37,-0.95,0.23,-7.26,-10.38,6.71
100,0.37,-0.96,0.23,-7.51,-11.29,6.23
110,0.37,-0.97,0.23,-7.87,-12.02,5.62
120,0.37,-0.98,0.23,-8.18,-12.70,4.94
130,0.36,-0.99,0.23,-8.54,-12.82,4.15
140,0.36,-0.99,0.23,-9.34,-11.41,2.69
150,0.36,-0.98,0.23,-9.83,-10.50,2.20
160,0.36,-0.96,0.24,-10.01,-9.58,1.83
170,0.36,-0.94,0.24,-10.07,-8.54,2.01
180,0.37,-0.92,0.24,-9.83,-7.81,2.26
190,0.37,-0.88,0.24,-8.79,-7.32,3.60
200,0.37,-0.86,0.24,-7.93,-7.93,4.58
210,0.37,-0.85,0.25,-7.20,-8.42,5.49
220,0.37,-0.84,0.25,-6.35,-9.34,6.29
230,0.37,-0.85,0.25,-5.80,-10.44,7.26
250,0.36,-0.87,0.26,-4.88,-13.31,6.96
260,0.35,-0.88,0.26,-4.82,-14.16,6.77
270,0.35,-0.89,0.27,-4.88,-14.34,6.10
280,0.34,-0.91,0.27,-5.00,-13.49,4.82
290,0.34,-0.92,0.27,-5.62,-12.15,4.39
300,0.34,-0.92,0.27,-6.10,-10.68,3.97
310,0.34,-0.91,0.26,-6.59,-9.09,3.54
320,0.35,-0.91,0.26,-6.77,-7.39,3.42
330,0.35,-0.90,0.26,-6.90,-5.19,3.23
340,0.36,-0.90,0.27,-6.59,-4.82,3.36
350,0.37,-0.90,0.28,-6.04,-4.64,3.54
360,0.37,-0.90,0.29,-5.62,-4.70,3.72
370,0.37,-0.89,0.29,-5.31,-5.00,3.97
380,0.37,-0.89,0.30,-4.52,-6.47,4.70
390,0.37,-0.88,0.31,-3.91,-7.14,4.70
400,0.37,-0.89,0.32,-3.42,-7.87,5.00
410,0.36,-0.89,0.32,-3.17,-8.54,5.37
420,0.36,-0.89,0.33,-3.05,-9.09,5.49
430,0.35,-0.89,0.33,-2.93,-9.46,6.04
440,0.34,-0.89,0.34,-2.99,-8.73,5.92
450,0.34,-0.90,0.34,-3.17,-8.00,5.92
460,0.34,-0.91,0.34,-3.48,-7.08,5.68
470,0.34,-0.91,0.35,-3.85,-6.04,5.37
480,0.33,-0.91,0.35,-4.82,-3.72,4.46
490,0.33,-0.90,0.35,-5.19,-2.20,3.91
500,0.34,-0.89,0.35,-5.49,-0.49,3.42
510,0.34,-0.89,0.35,-5.49,0.79,2.93
520,0.35,-0.88,0.35,-5.43,1.59,2.50
530,0.36,-0.89,0.36,-5.07,1.77,1.89
540,0.37,-0.89,0.36,-4.82,1.77,1.53
550,0.37,-0.89,0.36,-4.76,1.34,1.28
560,0.37,-0.89,0.36,-4.70,0.98,1.16
570,0.37,-0.89,0.36,-4.82,0.73,1.16
580,0.36,-0.89,0.35,-5.31,0.79,0.85
590,0.36,-0.88,0.35,-5.43,1.40,0.55
600,0.36,-0.88,0.35,-5.68,2.32,0.49
610,0.36,-0.88,0.35,-5.68,3.36,0.37
620,0.36,-0.88,0.36,-5.68,4.27,0.06
640,0.37,-0.88,0.36,-5.74,5.80,-0.12
650,0.37,-0.88,0.36,-5.68,5.86,-0.18
660,0.37,-0.87,0.36,-5.68,5.86,0.00
670,0.37,-0.87,0.35,-5.62,5.55,0.06
680,0.37,-0.85,0.35,-5.62,5.25,0.06
690,0.36,-0.84,0.36,-5.31,5.13,0.18
700,0.36,-0.85,0.36,-5.00,4.94,0.06
710,0.36,-0.85,0.36,-4.82,4.94,-0.06
720,0.36,-0.85,0.36,-4.76,4.76,-0.43
730,0.35,-0.86,0.35,-4.82,4.94,-0.67
740,0.35,-0.86,0.35,-4.76,5.55,-0.92
750,0.35,-0.87,0.35,-4.76,6.10,-1.22
760,0.35,-0.87,0.35,-4.82,6.96,-1.53
770,0.35,-0.87,0.35,-4.70,8.48,-2.14
780,0.36,-0.87,0.36,-4.76,9.03,-2.38
790,0.37,-0.87,0.37,-4.58,9.28,-2.50
800,0.37,-0.86,0.37,-4.33,9.28,-2.56
810,0.37,-0.86,0.36,-4.15,9.52,-2.56
820,0.36,-0.86,0.36,-4.03,9.58,-2.14
830,0.35,-0.85,0.35,-4.15,9.83,-1.95
840,0.35,-0.85,0.35,-4.27,10.31,-1.77
850,0.35,-0.85,0.35,-4.46,11.05,-1.65
860,0.35,-0.85,0.35,-4.58,11.96,-1.46
870,0.35,-0.85,0.35,-4.70,13.37,-1.40
880,0.34,-0.84,0.35,-4.76,13.85,-1.53
890,0.34,-0.85,0.35,-4.64,14.53,-1.71
900,0.34,-0.85,0.35,-4.46,15.20,-1.89
910,0.34,-0.85,0.35,-4.39,15.75,-2.20
920,0.34,-0.85,0.34,-4.03,16.30,-2.87
930,0.34,-0.84,0.34,-3.85,16.54,-3.30
940,0.34,-0.84,0.34,-3.66,16.78,-3.66
950,0.34,-0.84,0.33,-3.48,16.91,-4.09
960,0.34,-0.84,0.33,-3.11,17.09,-4.52
970,0.35,-0.85,0.33,-2.44,17.40,-5.25
980,0.35,-0.85,0.33,-2.20,17.64,-5.68
990,0.35,-0.85,0.33,-1.77,18.13,-6.23
1000,0.35,-0.84,0.33,-1.40,18.25,-6.84
1010,0.36,-0.84,0.33,-1.10,18.37,-7.93
1030,0.37,-0.84,0.33,0.24,18.55,-8.73
